channel,Time_Decay_Heuristic,Decay_Weighted_Markov,spend_inr,total_revenue,spend_cr,param_A,param_k,optimized_spend_cr,optimized_revenue
TikTok,266.66,224.57,7000000,900738.1622341269,0.7,1351107.2433511904,1.5708754128595617,1.2433908791789026,1159496.189759439
Instagram,366.07,248.07,30000000,1517018.453746026,3.0,2275527.6806190386,0.3665375963338977,2.780648578275407,1454337.271572067
E-commerce Marketplaces,135.88,184.84,8000000,590795.4712579381,0.8,886193.2068869071,1.3745159862521164,1.0170385291930633,667209.0736353624
Programmatic Display,71.26,151.33,5000000,313438.6967857145,0.5,470158.0451785717,2.1992255780033863,0.5611393915787408,333292.80385931267
Google Search,189.62,188.64,25000000,818673.578849207,2.5,1228010.3682738105,0.43984511560067724,1.3293709054267597,543685.1620576557
Influencer Networks,199.12,194.86,10000000,975342.1855079342,1.0,1463013.2782619013,1.0996127890016931,1.5242737098471892,1189283.170784147
YouTube,144.39,180.69,15000000,849044.3816190478,1.5,1273566.5724285718,0.7330751926677954,1.5441380064999382,862971.5829426395
